"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Cucen_Home\.gemini\antigravity-ide\scratch\pos-system\prisma\seed.js", "JavaScript", 309, 12, 30, 351
"Total", "-", 309, 12, 30, 351
